OBJECTID,x_coord,y_coord,presence
351,-108.16443973100,39.00248142100,0
352,-108.16746301700,38.99801879900,0
353,-108.16128334400,39.00246664500,0
354,-108.15015993300,39.00565828200,0
355,-108.15409590900,39.00582081600,0
356,-108.10688083100,39.01385466300,0
357,-108.10935270000,39.01237724300,0
358,-108.11011327500,39.00993943100,0
359,-108.10735619000,39.00942230800,0
360,-108.10593011200,39.01119528400,0
361,-108.13502211100,39.01363305200,0
362,-108.13749398000,39.01769581300,0
363,-108.13464182300,39.01836060600,0
364,-108.13407139200,39.01584913200,0
365,-108.12893751000,39.03254137100,0
366,-108.12979315700,39.02995654800,0
367,-108.12627549700,39.02877488300,0
368,-108.12475434600,39.03084278400,0
369,-108.12855722200,39.03601227100,0
370,-108.12342334000,39.03837533900,0
371,-108.11981060800,39.03704612300,0
372,-108.12560999300,39.03423991800,0
373,-108.12323319600,39.03638150500,0
374,-108.10459910600,39.02995654800,0
375,-108.09166932800,39.01836060600,0
376,-108.10878226900,39.01991176600,0
377,-108.10573996800,38.99834020600,0
378,-108.10383853000,38.99701023700,0
379,-108.10878226900,38.99568024300,0
380,-108.12551492200,38.99981792000,0
381,-108.07911983900,39.01525818500,0
382,-108.07512681900,39.02072426400,0
383,-108.07512681900,39.03468301000,0
384,-108.07579232300,39.03121204500,0
385,-108.06590484600,39.02988269400,0
386,-108.06552455800,39.03409222000,0
387,-108.05753851900,39.03918762500,0
388,-108.05877445400,39.03615996500,0
389,-108.05316521200,39.03748919800,0
390,-108.08406357700,39.05749851400,0
391,-108.08083113300,39.05528373900,0
392,-108.09490177300,39.05159229400,0
393,-108.09442641300,39.04959883400,0
394,-108.09005310600,39.04804832500,0
395,-108.05544693800,39.01717874700,0
396,-108.00734056100,39.03320602500,0
397,-108.02530914800,39.04066448600,0
398,-108.00391797300,39.02862717300,0
399,-108.00943214300,39.02286626200,0
400,-108.28095730100,38.96932436300,0
401,-108.28427036600,38.96323572600,0
402,-108.27854779900,38.96628011000,0
403,-108.31499151700,38.97634906300,0
404,-108.24361002000,38.95328201900,0
405,-108.24451358300,38.94356116800,0
406,-108.26710266500,38.94262414800,0
407,-108.25686228100,38.93747031700,0
408,-108.25927178300,38.94590366300,0
409,-108.24240526900,38.96393828800,0
410,-108.24842902400,38.96206477400,0
411,-108.31318439000,38.94520092300,0
412,-108.30309460100,38.93676749300,0
413,-108.29511312500,38.93301897900,0
414,-108.28818580700,38.93149608900,0
415,-108.27794542400,38.93887594400,0
416,-108.26394019300,38.97588077200,0
417,-108.24225467500,38.97927581600,0
418,-108.17256279600,38.90464830500,0
419,-108.17684103100,38.91371079200,0
420,-108.16899760000,38.91204634000,0
